method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-knn,12,5000,1404.2271613654186,0.28084543227308373,0.28084543227308373,,0,0.0,0.01619696617126465,0.9316,0.0684,200,0.045102968595256455
random,13,5000,145194.06632915683,29.038813265831365,29.038813265831365,,0,0.0,0.023843050003051758,0.4928,0.5072,200,0.0443782875492678
treat_all,13,5000,10951082.917991996,2190.216583598399,1897.3505941963003,,1217,0.2434,0.013876914978027344,0.0,1.0,200,0.04811333098626983
F,13,5000,4.829666974950353,0.0009659333949900706,0.0009659333949900706,,0,0.0,0.016622066497802734,0.5788,0.4212,200,0.047332573962992716
S2-linear,13,5000,4.829666974950353,0.0009659333949900706,0.0009659333949900706,,0,0.0,0.01653599739074707,0.7032,0.2968,200,0.04277503167255868
S2-lasso,13,5000,6.673669035333675,0.001334733807066735,0.001334733807066735,,0,0.0,0.016510963439941406,0.64,0.36,200,0.04129084485558134
S2-knn,13,5000,53.96443970599687,0.010792887941199373,0.010792887941199373,,0,0.0,0.016559839248657227,0.9306,0.0694,200,0.045102968595256455
random,14,5000,9027.32747970351,1.805465495940702,1.805465495940702,,0,0.0,0.0237271785736084,0.493,0.507,200,0.0443782875492678
treat_all,14,5000,10670735.024763152,2134.1470049526306,1829.8063458767647,,1208,0.2416,0.013872146606445312,0.0,1.0,200,0.04811333098626983
F,14,5000,29.277349661482795,0.005855469932296559,0.005855469932296559,,0,0.0,0.016326904296875,0.5914,0.4086,200,0.047332573962992716
S2-linear,14,5000,24.244884904812523,0.0048489769809625044,0.0048489769809625044,,0,0.0,0.016467809677124023,0.7132,0.2868,200,0.04277503167255868
S2-lasso,14,5000,42.94017422390259,0.008588034844780518,0.008588034844780518,,0,0.0,0.016354084014892578,0.6468,0.3532,200,0.04129084485558134
S2-knn,14,5000,836.3415920898332,0.16726831841796663,0.16726831841796663,,0,0.0,0.01635885238647461,0.9338,0.0662,200,0.045102968595256455
random,15,5000,308.50361490824935,0.06170072298164987,0.06170072298164987,,0,0.0,0.024233102798461914,0.5086,0.4914,200,0.0443782875492678
treat_all,15,5000,10740522.060297873,2148.1044120595748,1819.451622608164,,1272,0.2544,0.013876914978027344,0.0,1.0,200,0.04811333098626983
F,15,5000,9.545985081141811,0.0019091970162283623,0.0019091970162283623,,0,0.0,0.016669034957885742,0.5724,0.4276,200,0.047332573962992716
S2-linear,15,5000,95.45807323502777,0.019091614647005553,0.019091614647005553,,0,0.0,0.01644301414489746,0.7024,0.2976,200,0.04277503167255868
S2-lasso,15,5000,4.128710133295138,0.0008257420266590277,0.0008257420266590277,,0,0.0,0.01641082763671875,0.6422,0.3578,200,0.04129084485558134
S2-knn,15,5000,28179.088111298566,5.635817622259713,5.635817622259713,,0,0.0,0.016291141510009766,0.9318,0.0682,200,0.045102968595256455
random,16,5000,45483.32519409308,9.096665038818616,9.096665038818616,,0,0.0,0.02387714385986328,0.504,0.496,200,0.0443782875492678
treat_all,16,5000,10779761.526010431,2155.9523052020863,1822.6785935527378,,1287,0.2574,0.013837099075317383,0.0,1.0,200,0.04811333098626983
F,16,5000,0.0,0.0,0.0,,0,0.0,0.016685962677001953,0.5972,0.4028,200,0.047332573962992716
S2-linear,16,5000,0.0,0.0,0.0,,0,0.0,0.01649618148803711,0.7098,0.2902,200,0.04277503167255868
S2-lasso,16,5000,0.0,0.0,0.0,,0,0.0,0.01640486717224121,0.6416,0.3584,200,0.04129084485558134
S2-knn,16,5000,0.0,0.0,0.0,,0,0.0,0.016483068466186523,0.9366,0.0634,200,0.045102968595256455
random,17,5000,82900.17203896568,16.580034407793136,16.580034407793136,,0,0.0,0.02371692657470703,0.4952,0.5048,200,0.0443782875492678
treat_all,17,5000,10838199.1583997,2167.63983167994,1866.2385654464779,,1227,0.2454,0.013940095901489258,0.0,1.0,200,0.04811333098626983
F,17,5000,108.39071238814873,0.021678142477629746,0.021678142477629746,,0,0.0,0.01663517951965332,0.5874,0.4126,200,0.047332573962992716
S2-linear,17,5000,0.0,0.0,0.0,,0,0.0,0.016443967819213867,0.7092,0.2908,200,0.04277503167255868
S2-lasso,17,5000,81.40096620530338,0.016280193241060677,0.016280193241060677,,0,0.0,0.017213106155395508,0.6388,0.3612,200,0.04129084485558134
S2-knn,17,5000,1.5485224913786837,0.00030970449827573675,0.00030970449827573675,,0,0.0,0.016154766082763672,0.9368,0.0632,200,0.045102968595256455
random,18,5000,1203.1872327589012,0.24063744655178024,0.24063744655178024,,0,0.0,0.023292064666748047,0.4992,0.5008,200,0.0443782875492678
treat_all,18,5000,10835055.081591941,2167.011016318388,1859.2701454826363,,1201,0.2402,0.013846158981323242,0.0,1.0,200,0.04811333098626983
F,18,5000,0.2539772432166547,5.0795448643330945e-05,5.0795448643330945e-05,,0,0.0,0.016597986221313477,0.5874,0.4126,200,0.047332573962992716
S2-linear,18,5000,0.06990275914496613,1.3980551828993226e-05,1.3980551828993226e-05,,0,0.0,0.016510963439941406,0.7078,0.2922,200,0.04277503167255868
S2-lasso,18,5000,0.06990275914496613,1.3980551828993226e-05,1.3980551828993226e-05,,0,0.0,0.016637325286865234,0.6498,0.3502,200,0.04129084485558134
