method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-lasso,8,1000,2239.861742004495,2.239861742004495,2.239861742004495,,0,0.0,0.0025634765625,0.915,0.085,100,21.60882386602861
S2-knn,8,1000,4575.775622289999,4.575775622289999,4.575775622289999,,0,0.0,0.002507448196411133,0.991,0.009,100,21.583185949062536
random,9,1000,200851.86227751384,200.85186227751385,165.21960286611585,,85,0.085,0.003744840621948242,0.502,0.498,100,12.197121356427091
treat_all,9,1000,708966.9393228278,708.9669393228279,576.2333776528698,,587,0.587,0.002209901809692383,0.0,1.0,100,2.1439523396007845
F,9,1000,3879.760665226205,3.8797606652262053,3.8797606652262053,,0,0.0,0.0024912357330322266,0.91,0.09,100,21.381223038371278
S2-linear,9,1000,8123.316587137261,8.12331658713726,8.12331658713726,,0,0.0,0.0024678707122802734,0.721,0.279,100,12.431010138352692
S2-lasso,9,1000,4712.875724850634,4.712875724850633,4.712875724850633,,0,0.0,0.002431154251098633,0.927,0.073,100,21.60882386602861
S2-knn,9,1000,25809.913304471975,25.809913304471976,25.809913304471976,,0,0.0,0.002306699752807617,0.994,0.006,100,21.583185949062536
random,10,1000,206420.69620177,206.42069620177,165.7609798124251,,90,0.09,0.003745555877685547,0.483,0.517,100,12.197121356427091
treat_all,10,1000,697476.3386858259,697.4763386858259,545.0819527965328,,573,0.573,0.002229452133178711,0.0,1.0,100,2.1439523396007845
F,10,1000,5.06506938113567,0.00506506938113567,0.00506506938113567,,0,0.0,0.0025458335876464844,0.921,0.079,100,21.381223038371278
S2-linear,10,1000,17333.775215800557,17.333775215800557,17.333775215800557,,0,0.0,0.002456188201904297,0.697,0.303,100,12.431010138352692
S2-lasso,10,1000,550.3810671416104,0.5503810671416104,0.5503810671416104,,0,0.0,0.002486705780029297,0.933,0.067,100,21.60882386602861
S2-knn,10,1000,14866.350650557295,14.866350650557296,14.866350650557296,,0,0.0,0.0023458003997802734,0.993,0.007,100,21.583185949062536
random,11,1000,145456.7198686626,145.4567198686626,140.3376311030639,,13,0.013,0.0038084983825683594,0.52,0.48,100,12.197121356427091
treat_all,11,1000,695207.8100719964,695.2078100719964,553.3622306334681,,533,0.533,0.002262115478515625,0.0,1.0,100,2.1439523396007845
F,11,1000,39.03629507543387,0.03903629507543387,0.03903629507543387,,0,0.0,0.0025358200073242188,0.906,0.094,100,21.381223038371278
