method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,alloc_2,alloc_3,alloc_4,alloc_5,alloc_6,alloc_7,alloc_8,alloc_9,N
F,0,5000,3441288.5975262206,688.2577195052442,385.0161731754455,16.873442515037468,482,0.0964,0.029945850372314453,0.0894,0.2522,0.0764,0.089,0.073,0.0604,0.0908,0.0892,0.0956,0.084,300
oracle_greedy_no_cap,0,5000,17443630.42723575,3488.7260854471497,1458.0657118497675,44.229038146896976,3291,0.6582,0.0216677188873291,0.0,0.814,0.009,0.0158,0.0234,0.0268,0.0248,0.0246,0.0284,0.0332,300
S2-linear,0,5000,1344338.191009514,268.8676382019028,268.8676382019028,13.064019926006164,0,0.0,0.025391101837158203,0.0736,0.139,0.0996,0.0986,0.0732,0.1242,0.1114,0.0768,0.1076,0.096,300
S2-lasso,0,5000,12903801.77271222,2580.760354542444,1111.3470293681694,18.54285131383173,2231,0.4462,0.018053770065307617,0.0,0.1158,0.075,0.0,0.0828,0.0,0.1272,0.0,0.5992,0.0,300
S2-knn,0,5000,1108047.3973927498,221.60947947854996,221.60947947854996,15.241628653147625,0,0.0,0.029868125915527344,0.0906,0.1394,0.0828,0.1134,0.0832,0.0878,0.0964,0.0998,0.1154,0.0912,300
F,1,5000,3765599.919529699,753.1199839059398,431.0155407700054,16.520160793929364,518,0.1036,0.018743038177490234,0.091,0.249,0.0736,0.094,0.0612,0.0678,0.0934,0.0904,0.09,0.0896,300
oracle_greedy_no_cap,1,5000,18091851.85885469,3618.3703717709377,1544.5286058427796,43.851141744334655,3383,0.6766,0.025429964065551758,0.0,0.822,0.011,0.0172,0.023,0.019,0.0264,0.0232,0.0302,0.028,300
S2-linear,1,5000,1897144.6244420132,379.42892488840266,379.42892488840266,14.573617384936492,0,0.0,0.017847776412963867,0.079,0.145,0.107,0.0962,0.0794,0.1172,0.1144,0.0726,0.0954,0.0938,300
S2-lasso,1,5000,13377840.659626296,2675.568131925259,1244.978245730468,18.354236674894796,2289,0.4578,0.017327070236206055,0.0,0.113,0.077,0.0,0.0754,0.0,0.1228,0.0,0.6118,0.0,300
S2-knn,1,5000,1690708.8403041132,338.14176806082264,338.14176806082264,16.143360052243928,0,0.0,0.031202077865600586,0.0946,0.1452,0.0834,0.1116,0.0704,0.095,0.092,0.0938,0.1224,0.0916,300
F,2,5000,3511479.8116611666,702.2959623322333,372.35304006913384,17.139118554192333,513,0.1026,0.01832103729248047,0.0876,0.2518,0.0786,0.096,0.0648,0.0554,0.0908,0.0884,0.0998,0.0868,300
oracle_greedy_no_cap,2,5000,17821376.275666386,3564.2752551332774,1460.6762308102761,44.37504573171899,3361,0.6722,0.0230410099029541,0.0,0.8214,0.0108,0.014,0.02,0.021,0.0264,0.0246,0.0288,0.033,300
S2-linear,2,5000,1261305.9859033239,252.26119718066477,252.26119718066477,14.024332144000093,0,0.0,0.01803302764892578,0.0706,0.1488,0.1032,0.0968,0.0796,0.113,0.1172,0.0742,0.1006,0.096,300
S2-lasso,2,5000,12807425.46637699,2561.485093275398,979.4186420199048,19.41942426311744,2260,0.452,0.01686716079711914,0.0,0.1198,0.0804,0.0,0.0802,0.0,0.1274,0.0,0.5922,0.0,300
S2-knn,2,5000,1695798.0248713964,339.15960497427926,316.5472986162045,16.562376336214015,48,0.0096,0.01725602149963379,0.0896,0.1588,0.0744,0.1068,0.074,0.0886,0.0958,0.0996,0.1214,0.091,300
F,3,5000,3613423.801177767,722.6847602355534,421.8696135904692,16.512781495985816,494,0.0988,0.02015399932861328,0.0878,0.2552,0.0794,0.0984,0.058,0.055,0.0988,0.0906,0.0934,0.0834,300
oracle_greedy_no_cap,3,5000,17712669.29646945,3542.53385929389,1588.9845482524986,45.47031236060245,3306,0.6612,0.027408838272094727,0.0,0.8176,0.0114,0.0182,0.0218,0.0248,0.0254,0.022,0.0252,0.0336,300
S2-linear,3,5000,1305266.6453712578,261.05332907425156,261.05332907425156,13.721306800200374,0,0.0,0.028610944747924805,0.0758,0.1404,0.106,0.0934,0.0774,0.1228,0.1128,0.0772,0.103,0.0912,300
S2-lasso,3,5000,13054908.845151644,2610.981769030329,1081.4450574991538,19.549957849121984,2311,0.4622,0.017105817794799805,0.0,0.1182,0.0792,0.0,0.0714,0.0,0.115,0.0,0.6162,0.0,300
S2-knn,3,5000,1499057.6123443523,299.81152246887046,299.81152246887046,16.302625974067738,0,0.0,0.01753687858581543,0.0864,0.1534,0.0766,0.1046,0.0756,0.088,0.0968,0.0952,0.1276,0.0958,300
F,4,5000,3166064.6897400324,633.2129379480065,368.66266809920415,15.670442906485908,440,0.088,0.017338037490844727,0.0896,0.2386,0.0744,0.101,0.0704,0.0662,0.0918,0.0832,0.0954,0.0894,300
oracle_greedy_no_cap,4,5000,17484391.21008525,3496.87824201705,1470.0164807865485,44.30446151690269,3319,0.6638,0.01691913604736328,0.0,0.8144,0.0106,0.016,0.0202,0.0258,0.0252,0.0278,0.028,0.032,300
S2-linear,4,5000,1509651.0311075011,301.9302062215002,301.9302062215002,13.471715089959902,0,0.0,0.01736903190612793,0.0786,0.1418,0.0992,0.1028,0.0772,0.1132,0.1202,0.0724,0.0986,0.096,300
S2-lasso,4,5000,13112885.498048075,2622.577099609615,1183.7731125647042,17.409876179727497,2231,0.4462,0.017006874084472656,0.0,0.1176,0.0776,0.0,0.0804,0.0,0.1274,0.0,0.597,0.0,300
S2-knn,4,5000,1453396.5719486466,290.6793143897293,290.6793143897293,16.273831277038607,0,0.0,0.017354965209960938,0.0912,0.145,0.0704,0.1194,0.0768,0.0874,0.0908,0.1024,0.1172,0.0994,300
F,0,5000,1966266.7752255304,393.25335504510605,362.4933634139578,16.53739083212226,63,0.0126,0.024695158004760742,0.1056,0.1684,0.0854,0.0746,0.1122,0.126,0.0756,0.0828,0.0846,0.0848,400
oracle_greedy_no_cap,0,5000,17443630.42723575,3488.7260854471497,1458.0657118497675,44.229038146896976,3291,0.6582,0.01881694793701172,0.0,0.814,0.009,0.0158,0.0234,0.0268,0.0248,0.0246,0.0284,0.0332,400
S2-linear,0,5000,745702.994171518,149.1405988343036,149.1405988343036,10.91446070537909,0,0.0,0.03106093406677246,0.089,0.1058,0.1048,0.1172,0.099,0.1102,0.1104,0.1064,0.0804,0.0768,400
S2-lasso,0,5000,2450251.1987047084,490.05023974094166,369.601848497159,12.0547040901686,223,0.0446,0.023884057998657227,0.1524,0.1234,0.1144,0.202,0.0952,0.0,0.0548,0.089,0.0878,0.081,400
S2-knn,0,5000,697889.392229016,139.5778784458032,139.5778784458032,11.730041525689597,0,0.0,0.02281022071838379,0.0922,0.0954,0.1128,0.1238,0.0914,0.101,0.0872,0.0834,0.093,0.1198,400
F,1,5000,2045149.9409578415,409.0299881915683,374.7985100126811,16.100838150913187,72,0.0144,0.01935100555419922,0.1024,0.1598,0.0818,0.0762,0.1218,0.1212,0.0786,0.0896,0.0802,0.0884,400
oracle_greedy_no_cap,1,5000,18091851.85885469,3618.3703717709377,1544.5286058427796,43.851141744334655,3383,0.6766,0.017228126525878906,0.0,0.822,0.011,0.0172,0.023,0.019,0.0264,0.0232,0.0302,0.028,400
S2-linear,1,5000,1213492.1160820604,242.69842321641207,242.69842321641207,11.128702112393935,0,0.0,0.01771402359008789,0.0962,0.1072,0.1088,0.1144,0.0936,0.113,0.1094,0.1008,0.0736,0.083,400
S2-lasso,1,5000,2878229.181053866,575.6458362107733,442.2348871738791,11.108339353632775,250,0.05,0.017750024795532227,0.169,0.1136,0.1192,0.1944,0.0884,0.0,0.056,0.078,0.0906,0.0908,400
S2-knn,1,5000,1470541.3454928785,294.1082690985757,294.1082690985757,12.652200613588969,0,0.0,0.017730236053466797,0.0878,0.0988,0.1248,0.1126,0.0866,0.1078,0.0902,0.0934,0.0808,0.1172,400
F,2,5000,2168488.016965444,433.69760339308885,368.71960896601627,15.738756145976502,127,0.0254,0.01774907112121582,0.0964,0.1746,0.0828,0.0814,0.1182,0.1206,0.0724,0.0834,0.0802,0.09,400
oracle_greedy_no_cap,2,5000,17821376.275666386,3564.2752551332774,1460.6762308102761,44.37504573171899,3361,0.6722,0.02609992027282715,0.0,0.8214,0.0108,0.014,0.02,0.021,0.0264,0.0246,0.0288,0.033,400
S2-linear,2,5000,746018.6666722931,149.20373333445863,149.20373333445863,12.29177030053118,0,0.0,0.021068096160888672,0.0964,0.1066,0.1086,0.1206,0.0936,0.1106,0.098,0.1028,0.0874,0.0754,400
S2-lasso,2,5000,2707781.42055544,541.556284111088,364.7474516354091,11.724781228975955,297,0.0594,0.017004966735839844,0.1556,0.1218,0.1138,0.1932,0.0872,0.0,0.0562,0.082,0.1004,0.0898,400
