method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-lasso,17,5000,0.15953337175693144,3.190667435138629e-05,3.190667435138629e-05,,0,0.0,0.015321731567382812,0.765,0.235,200,0.045202667490557805
S2-knn,17,5000,0.0,0.0,0.0,,0,0.0,0.01521921157836914,0.7524,0.2476,200,0.04494258989303332
random,18,5000,843.3841588674084,0.16867683177348167,0.16867683177348167,,0,0.0,0.022510051727294922,0.4992,0.5008,200,0.04337750741873452
treat_all,18,5000,10827497.699341783,2165.499539868357,1857.773555635367,,1200,0.24,0.014420032501220703,0.0,1.0,200,0.04687417834476838
F,18,5000,4.3824277982189646,0.0008764855596437929,0.0008764855596437929,,0,0.0,0.01568293571472168,0.5232,0.4768,200,0.04392541735135207
S2-linear,18,5000,438030.6153273763,87.60612306547526,87.60612306547526,,0,0.0,0.015311002731323242,0.4606,0.5394,200,0.04519950416524283
S2-lasso,18,5000,15.806791045663772,0.0031613582091327545,0.0031613582091327545,,0,0.0,0.015542030334472656,0.7618,0.2382,200,0.045202667490557805
S2-knn,18,5000,2.7758131014270404,0.0005551626202854081,0.0005551626202854081,,0,0.0,0.015420913696289062,0.7312,0.2688,200,0.04494258989303332
random,19,5000,831.1340732961422,0.16622681465922845,0.16622681465922845,,0,0.0,0.022056102752685547,0.51,0.49,200,0.04337750741873452
treat_all,19,5000,10867838.618111633,2173.5677236223264,1863.810589021497,,1264,0.2528,0.013792037963867188,0.0,1.0,200,0.04687417834476838
F,19,5000,462.95368232967627,0.09259073646593526,0.09259073646593526,,0,0.0,0.01514887809753418,0.5432,0.4568,200,0.04392541735135207
S2-linear,19,5000,450836.7996676319,90.16735993352638,90.16735993352638,,0,0.0,0.015054941177368164,0.4616,0.5384,200,0.04519950416524283
S2-lasso,19,5000,17.87495808567979,0.003574991617135958,0.003574991617135958,,0,0.0,0.015130996704101562,0.7596,0.2404,200,0.045202667490557805
S2-knn,19,5000,31.689125929738196,0.006337825185947639,0.006337825185947639,,0,0.0,0.01529383659362793,0.7488,0.2512,200,0.04494258989303332
random,20,5000,1519.2050222499442,0.30384100444998885,0.30384100444998885,,0,0.0,0.022575855255126953,0.4854,0.5146,200,0.04337750741873452
treat_all,20,5000,10447361.138452467,2089.472227690493,1788.2976870153013,,1179,0.2358,0.014308929443359375,0.0,1.0,200,0.04687417834476838
F,20,5000,239.75821096045036,0.04795164219209007,0.04795164219209007,,0,0.0,0.01562809944152832,0.541,0.459,200,0.04392541735135207
S2-linear,20,5000,451450.2077765097,90.29004155530194,90.29004155530194,,0,0.0,0.015408992767333984,0.4472,0.5528,200,0.04519950416524283
S2-lasso,20,5000,3.7504330304196216,0.0007500866060839243,0.0007500866060839243,,0,0.0,0.015491247177124023,0.7586,0.2414,200,0.045202667490557805
S2-knn,20,5000,0.0,0.0,0.0,,0,0.0,0.01535797119140625,0.7512,0.2488,200,0.04494258989303332
random,21,5000,1947.8678618255913,0.38957357236511825,0.38957357236511825,,0,0.0,0.022263050079345703,0.5036,0.4964,200,0.04337750741873452
treat_all,21,5000,10467926.204162799,2093.58524083256,1774.7314513024066,,1234,0.2468,0.013903141021728516,0.0,1.0,200,0.04687417834476838
F,21,5000,1681.3994202552014,0.3362798840510403,0.3362798840510403,,0,0.0,0.015382051467895508,0.5458,0.4542,200,0.04392541735135207
S2-linear,21,5000,444489.3604391285,88.89787208782569,88.89787208782569,,0,0.0,0.015060901641845703,0.457,0.543,200,0.04519950416524283
S2-lasso,21,5000,0.0,0.0,0.0,,0,0.0,0.015169858932495117,0.7596,0.2404,200,0.045202667490557805
S2-knn,21,5000,0.0,0.0,0.0,,0,0.0,0.015161752700805664,0.7516,0.2484,200,0.04494258989303332
random,22,5000,7077.999074171831,1.4155998148343663,1.4155998148343663,,0,0.0,0.022209882736206055,0.502,0.498,200,0.04337750741873452
treat_all,22,5000,10764334.225008944,2152.866845001789,1813.570014208579,,1290,0.258,0.014095067977905273,0.0,1.0,200,0.04687417834476838
F,22,5000,31.865904139370457,0.006373180827874091,0.006373180827874091,,0,0.0,0.01772904396057129,0.5616,0.4384,200,0.04392541735135207
S2-linear,22,5000,321494.8628733191,64.29897257466382,64.29897257466382,,0,0.0,0.015603780746459961,0.465,0.535,200,0.04519950416524283
S2-lasso,22,5000,44.86550982827164,0.008973101965654328,0.008973101965654328,,0,0.0,0.015852928161621094,0.7724,0.2276,200,0.045202667490557805
S2-knn,22,5000,37.206999891110016,0.007441399978222003,0.007441399978222003,,0,0.0,0.015384197235107422,0.7544,0.2456,200,0.04494258989303332
random,23,5000,108810.66628302907,21.762133256605814,21.762133256605814,,0,0.0,0.022135019302368164,0.4944,0.5056,200,0.04337750741873452
treat_all,23,5000,10927754.19801907,2185.550839603814,1876.675935366755,,1232,0.2464,0.014017820358276367,0.0,1.0,200,0.04687417834476838
F,23,5000,1564.5192430382108,0.31290384860764214,0.31290384860764214,,0,0.0,0.015453815460205078,0.5426,0.4574,200,0.04392541735135207
S2-linear,23,5000,326454.4426960497,65.29088853920994,65.29088853920994,,0,0.0,0.015270233154296875,0.4718,0.5282,200,0.04519950416524283
