method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_train,ipw_val
S2-linear,23,5000,340.67688914671237,0.06813537782934248,0.06813537782934248,,0,0.0,0.015836000442504883,0.541,0.459,100,0.07790736411159031,0.04294744321769962
S2-lasso,23,5000,252777.50742597587,50.55550148519517,50.55550148519517,,0,0.0,0.015076875686645508,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,23,5000,116.1813391610021,0.02323626783220042,0.02323626783220042,,0,0.0,0.015587091445922852,0.8968,0.1032,100,0.011759453404257705,0.040641399606895605
random,24,5000,0.0,0.0,0.0,,0,0.0,0.02334284782409668,0.5114,0.4886,100,0.07790736411159031,0.04416676790791181
treat_all,24,5000,10642659.248849262,2128.531849769852,1803.6182892384534,,1274,0.2548,0.013804197311401367,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,24,5000,0.0,0.0,0.0,,0,0.0,0.01587200164794922,0.6624,0.3376,100,0.07790736411159031,0.04205926415253394
S2-linear,24,5000,0.0,0.0,0.0,,0,0.0,0.015859127044677734,0.5486,0.4514,100,0.07790736411159031,0.04294744321769962
S2-lasso,24,5000,290535.4560290567,58.10709120581134,58.10709120581134,,0,0.0,0.015218973159790039,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,24,5000,0.0,0.0,0.0,,0,0.0,0.015505075454711914,0.8982,0.1018,100,0.011759453404257705,0.040641399606895605
random,25,5000,3947.30440545597,0.7894608810911941,0.7894608810911941,,0,0.0,0.02385711669921875,0.5128,0.4872,100,0.07790736411159031,0.04416676790791181
treat_all,25,5000,11153167.183476366,2230.6334366952733,1926.4045687683215,,1222,0.2444,0.014030694961547852,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,25,5000,0.25994692786746265,5.1989385573492533e-05,5.1989385573492533e-05,,0,0.0,0.015969038009643555,0.6584,0.3416,100,0.07790736411159031,0.04205926415253394
S2-linear,25,5000,27.45193194859621,0.005490386389719242,0.005490386389719242,,0,0.0,0.015987873077392578,0.5528,0.4472,100,0.07790736411159031,0.04294744321769962
S2-lasso,25,5000,3113.13925150184,0.622627850300368,0.622627850300368,,0,0.0,0.015543937683105469,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,25,5000,0.49303428985598596,9.860685797119719e-05,9.860685797119719e-05,,0,0.0,0.015585184097290039,0.897,0.103,100,0.011759453404257705,0.040641399606895605
random,26,5000,135277.40143341466,27.055480286682933,27.055480286682933,,0,0.0,0.028741836547851562,0.493,0.507,100,0.07790736411159031,0.04416676790791181
treat_all,26,5000,11207168.08393507,2241.433616787014,1926.1755376951812,,1252,0.2504,0.015039920806884766,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,26,5000,11.560055750684295,0.002312011150136859,0.002312011150136859,,0,0.0,0.01635885238647461,0.663,0.337,100,0.07790736411159031,0.04205926415253394
S2-linear,26,5000,13672.860597509145,2.734572119501829,2.734572119501829,,0,0.0,0.016273975372314453,0.5598,0.4402,100,0.07790736411159031,0.04294744321769962
S2-lasso,26,5000,2064.143699768872,0.4128287399537744,0.4128287399537744,,0,0.0,0.015796899795532227,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,26,5000,58.51107558763446,0.011702215117526891,0.011702215117526891,,0,0.0,0.01567816734313965,0.8944,0.1056,100,0.011759453404257705,0.040641399606895605
random,27,5000,51940.87311207079,10.388174622414157,10.388174622414157,,0,0.0,0.023641109466552734,0.5096,0.4904,100,0.07790736411159031,0.04416676790791181
treat_all,27,5000,11222284.007482462,2244.4568014964925,1912.2424900946805,,1358,0.2716,0.013944864273071289,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,27,5000,15.012317922944726,0.0030024635845889453,0.0030024635845889453,,0,0.0,0.015980958938598633,0.6374,0.3626,100,0.07790736411159031,0.04205926415253394
S2-linear,27,5000,5497.407786537464,1.0994815573074928,1.0994815573074928,,0,0.0,0.016117095947265625,0.5328,0.4672,100,0.07790736411159031,0.04294744321769962
S2-lasso,27,5000,214712.37027387088,42.94247405477417,42.94247405477417,,0,0.0,0.015567302703857422,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,27,5000,2.3620604488134216,0.00047241208976268434,0.00047241208976268434,,0,0.0,0.01589202880859375,0.9014,0.0986,100,0.011759453404257705,0.040641399606895605
random,28,5000,25886.772993821643,5.177354598764329,5.177354598764329,,0,0.0,0.02349400520324707,0.5004,0.4996,100,0.07790736411159031,0.04416676790791181
treat_all,28,5000,10917665.540500484,2183.533108100097,1848.9997322864394,,1301,0.2602,0.013824939727783203,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,28,5000,6.332374493491602,0.0012664748986983205,0.0012664748986983205,,0,0.0,0.016167163848876953,0.646,0.354,100,0.07790736411159031,0.04205926415253394
